scenario	status	iters	terminal_reason	seconds
aws-dynamodb	failed	2	stuck	95
aws-eks	failed	2	stuck	136
aws-full-stack	failed	2	stuck	207
aws-iam	failed	3	stuck	137
aws-instance	failed	2	stuck	123
aws-rds	failed	5	repair_budget_exhausted	312
aws-route53	failed	5	repair_budget_exhausted	548
aws-s3	failed	5	stuck	406
aws-secrets-manager	failed	2	stuck	87
aws-sqs	failed	3	stuck	138
aws-vpc-network	failed	2	stuck	104
gcp-cloud-sql	failed	2	stuck	242
gcp-full-stack	failed	2	stuck	218
gcp-gke-cluster	failed	2	stuck	208
gcp-iam	failed	5	repair_budget_exhausted	544
gcp-load-balancer	success	2	target_reached	146
gcp-storage	failed	2	stuck	64
gcp-vm-network	failed	2	stuck	122
private-lb-db-paris	success	1	target_reached	71
